# 2022-03-31, 15:33:05.253078
# fs = 1 Hz, N = 360
# NI 9201, 17.0.0
t,ai0
0.000000000,-2.669560648
1.000000000,-2.669560648
2.000000000,-2.674701096
3.000000000,-2.669560648
4.000000000,-2.669560648
5.000000000,-2.654139304
6.000000000,-2.664420200
7.000000000,-2.654139304
8.000000000,-2.648998856
9.000000000,-2.633577512
10.000000000,-2.628437064
11.000000000,-2.628437064
12.000000000,-2.623296616
13.000000000,-2.607875272
14.000000000,-2.592453928
15.000000000,-2.592453928
16.000000000,-2.587313480
17.000000000,-2.582173032
18.000000000,-2.566751688
19.000000000,-2.561611240
20.000000000,-2.566751688
21.000000000,-2.551330344
22.000000000,-2.561611240
23.000000000,-2.551330344
24.000000000,-2.541049448
25.000000000,-2.535909000
26.000000000,-2.530768552
27.000000000,-2.530768552
28.000000000,-2.525628104
29.000000000,-2.525628104
30.000000000,-2.515347208
31.000000000,-2.520487656
32.000000000,-2.510206760
33.000000000,-2.505066312
34.000000000,-2.505066312
35.000000000,-2.505066312
36.000000000,-2.494785416
37.000000000,-2.494785416
38.000000000,-2.494785416
39.000000000,-2.484504520
40.000000000,-2.484504520
41.000000000,-2.494785416
42.000000000,-2.484504520
43.000000000,-2.484504520
44.000000000,-2.484504520
45.000000000,-2.489644968
46.000000000,-2.479364072
47.000000000,-2.474223624
48.000000000,-2.474223624
49.000000000,-2.474223624
50.000000000,-2.469083176
51.000000000,-2.463942728
52.000000000,-2.463942728
53.000000000,-2.458802280
54.000000000,-2.453661832
55.000000000,-2.453661832
56.000000000,-2.453661832
57.000000000,-2.453661832
58.000000000,-2.448521384
59.000000000,-2.448521384
60.000000000,-2.448521384
61.000000000,-2.443380936
62.000000000,-2.448521384
63.000000000,-2.448521384
64.000000000,-2.443380936
65.000000000,-2.448521384
66.000000000,-2.443380936
67.000000000,-2.443380936
68.000000000,-2.448521384
69.000000000,-2.438240488
70.000000000,-2.443380936
71.000000000,-2.427959592
72.000000000,-2.433100040
73.000000000,-2.438240488
74.000000000,-2.427959592
75.000000000,-2.438240488
76.000000000,-2.433100040
77.000000000,-2.438240488
78.000000000,-2.438240488
79.000000000,-2.427959592
80.000000000,-2.427959592
81.000000000,-2.433100040
82.000000000,-2.433100040
83.000000000,-2.427959592
84.000000000,-2.433100040
85.000000000,-2.433100040
86.000000000,-2.438240488
87.000000000,-2.433100040
88.000000000,-2.427959592
89.000000000,-2.433100040
90.000000000,-2.427959592
91.000000000,-2.427959592
92.000000000,-2.422819144
93.000000000,-2.433100040
94.000000000,-2.433100040
95.000000000,-2.422819144
96.000000000,-2.427959592
97.000000000,-2.427959592
98.000000000,-2.427959592
99.000000000,-2.417678696
100.000000000,-2.427959592
101.000000000,-2.417678696
102.000000000,-2.422819144
103.000000000,-2.427959592
104.000000000,-2.417678696
105.000000000,-2.427959592
106.000000000,-2.422819144
107.000000000,-2.422819144
108.000000000,-2.427959592
109.000000000,-2.422819144
110.000000000,-2.422819144
111.000000000,-2.422819144
112.000000000,-2.422819144
113.000000000,-2.427959592
114.000000000,-2.417678696
115.000000000,-2.422819144
116.000000000,-2.417678696
117.000000000,-2.417678696
118.000000000,-2.417678696
119.000000000,-2.427959592
120.000000000,-2.422819144
121.000000000,-2.427959592
122.000000000,-2.422819144
123.000000000,-2.427959592
124.000000000,-2.427959592
125.000000000,-2.422819144
126.000000000,-2.433100040
127.000000000,-2.438240488
128.000000000,-2.433100040
129.000000000,-2.438240488
130.000000000,-2.438240488
131.000000000,-2.443380936
132.000000000,-2.443380936
133.000000000,-2.443380936
134.000000000,-2.448521384
135.000000000,-2.453661832
136.000000000,-2.453661832
137.000000000,-2.453661832
138.000000000,-2.448521384
139.000000000,-2.458802280
140.000000000,-2.463942728
141.000000000,-2.463942728
142.000000000,-2.463942728
143.000000000,-2.469083176
144.000000000,-2.474223624
145.000000000,-2.474223624
146.000000000,-2.469083176
147.000000000,-2.474223624
148.000000000,-2.474223624
149.000000000,-2.479364072
150.000000000,-2.484504520
151.000000000,-2.479364072
152.000000000,-2.494785416
153.000000000,-2.489644968
154.000000000,-2.484504520
155.000000000,-2.494785416
156.000000000,-2.489644968
157.000000000,-2.499925864
158.000000000,-2.499925864
159.000000000,-2.494785416
160.000000000,-2.499925864
161.000000000,-2.499925864
162.000000000,-2.505066312
163.000000000,-2.515347208
164.000000000,-2.505066312
165.000000000,-2.515347208
166.000000000,-2.515347208
167.000000000,-2.510206760
168.000000000,-2.515347208
169.000000000,-2.515347208
170.000000000,-2.525628104
171.000000000,-2.525628104
172.000000000,-2.525628104
173.000000000,-2.530768552
174.000000000,-2.525628104
175.000000000,-2.525628104
176.000000000,-2.525628104
177.000000000,-2.525628104
178.000000000,-2.535909000
179.000000000,-2.535909000
180.000000000,-2.535909000
181.000000000,-2.541049448
182.000000000,-2.535909000
183.000000000,-2.535909000
184.000000000,-2.551330344
185.000000000,-2.541049448
186.000000000,-2.546189896
187.000000000,-2.546189896
188.000000000,-2.551330344
189.000000000,-2.551330344
190.000000000,-2.551330344
191.000000000,-2.551330344
192.000000000,-2.556470792
193.000000000,-2.556470792
194.000000000,-2.556470792
195.000000000,-2.561611240
196.000000000,-2.561611240
197.000000000,-2.561611240
198.000000000,-2.566751688
199.000000000,-2.566751688
200.000000000,-2.566751688
201.000000000,-2.571892136
202.000000000,-2.561611240
203.000000000,-2.561611240
204.000000000,-2.571892136
205.000000000,-2.561611240
206.000000000,-2.571892136
207.000000000,-2.571892136
208.000000000,-2.571892136
209.000000000,-2.577032584
210.000000000,-2.566751688
211.000000000,-2.582173032
212.000000000,-2.577032584
213.000000000,-2.577032584
214.000000000,-2.582173032
215.000000000,-2.577032584
216.000000000,-2.582173032
217.000000000,-2.582173032
218.000000000,-2.592453928
219.000000000,-2.587313480
220.000000000,-2.587313480
221.000000000,-2.587313480
222.000000000,-2.587313480
223.000000000,-2.582173032
224.000000000,-2.587313480
225.000000000,-2.587313480
226.000000000,-2.592453928
227.000000000,-2.597594376
228.000000000,-2.592453928
229.000000000,-2.597594376
230.000000000,-2.592453928
231.000000000,-2.587313480
232.000000000,-2.592453928
233.000000000,-2.587313480
234.000000000,-2.592453928
235.000000000,-2.597594376
236.000000000,-2.597594376
237.000000000,-2.597594376
238.000000000,-2.597594376
239.000000000,-2.597594376
240.000000000,-2.602734824
241.000000000,-2.597594376
242.000000000,-2.607875272
243.000000000,-2.607875272
244.000000000,-2.607875272
245.000000000,-2.607875272
246.000000000,-2.607875272
247.000000000,-2.607875272
248.000000000,-2.613015720
249.000000000,-2.613015720
250.000000000,-2.607875272
251.000000000,-2.607875272
252.000000000,-2.618156168
253.000000000,-2.613015720
254.000000000,-2.618156168
255.000000000,-2.613015720
256.000000000,-2.613015720
257.000000000,-2.618156168
258.000000000,-2.607875272
259.000000000,-2.613015720
260.000000000,-2.618156168
261.000000000,-2.613015720
262.000000000,-2.623296616
263.000000000,-2.613015720
264.000000000,-2.618156168
265.000000000,-2.618156168
266.000000000,-2.618156168
267.000000000,-2.623296616
268.000000000,-2.623296616
269.000000000,-2.633577512
270.000000000,-2.623296616
271.000000000,-2.623296616
272.000000000,-2.623296616
273.000000000,-2.623296616
274.000000000,-2.628437064
275.000000000,-2.628437064
276.000000000,-2.633577512
277.000000000,-2.633577512
278.000000000,-2.628437064
279.000000000,-2.623296616
280.000000000,-2.628437064
281.000000000,-2.638717960
282.000000000,-2.628437064
283.000000000,-2.628437064
284.000000000,-2.628437064
285.000000000,-2.633577512
286.000000000,-2.638717960
287.000000000,-2.628437064
288.000000000,-2.628437064
289.000000000,-2.628437064
290.000000000,-2.638717960
291.000000000,-2.638717960
292.000000000,-2.643858408
293.000000000,-2.638717960
294.000000000,-2.638717960
295.000000000,-2.638717960
296.000000000,-2.633577512
297.000000000,-2.638717960
298.000000000,-2.638717960
299.000000000,-2.633577512
300.000000000,-2.638717960
301.000000000,-2.643858408
302.000000000,-2.643858408
303.000000000,-2.643858408
304.000000000,-2.638717960
305.000000000,-2.638717960
306.000000000,-2.638717960
307.000000000,-2.638717960
308.000000000,-2.638717960
309.000000000,-2.643858408
310.000000000,-2.643858408
311.000000000,-2.648998856
312.000000000,-2.643858408
313.000000000,-2.643858408
314.000000000,-2.643858408
315.000000000,-2.654139304
316.000000000,-2.654139304
317.000000000,-2.648998856
318.000000000,-2.648998856
319.000000000,-2.643858408
320.000000000,-2.643858408
321.000000000,-2.654139304
322.000000000,-2.648998856
323.000000000,-2.648998856
324.000000000,-2.648998856
325.000000000,-2.659279752
326.000000000,-2.648998856
327.000000000,-2.654139304
328.000000000,-2.664420200
329.000000000,-2.654139304
330.000000000,-2.659279752
331.000000000,-2.654139304
332.000000000,-2.654139304
333.000000000,-2.659279752
334.000000000,-2.654139304
335.000000000,-2.664420200
336.000000000,-2.659279752
337.000000000,-2.664420200
338.000000000,-2.654139304
339.000000000,-2.648998856
340.000000000,-2.659279752
341.000000000,-2.659279752
342.000000000,-2.659279752
343.000000000,-2.664420200
344.000000000,-2.664420200
345.000000000,-2.669560648
346.000000000,-2.659279752
347.000000000,-2.669560648
348.000000000,-2.664420200
349.000000000,-2.664420200
350.000000000,-2.669560648
351.000000000,-2.664420200
352.000000000,-2.664420200
353.000000000,-2.664420200
354.000000000,-2.659279752
355.000000000,-2.659279752
356.000000000,-2.664420200
357.000000000,-2.664420200
358.000000000,-2.664420200
359.000000000,-2.669560648
